	text	sentiment
140	Thank you for leaving my side when I was alone… I realized I can do so much without you.	sar
141	You go girl! And don’t come back.	sar
142	Heartbreak could be lived with if it weren’t accompanied by regret.	sad
143	Even the things you don’t like about yourself make you interesting.	happy
144	You're like a breath of fresh air.	happy
145	This is my cup of care… _/ … Oh! Would you look at that, it’s empty!	sar
146	You make my insides jump around in the best way.	happy
147	Don’t take yourself so seriously, no one else does.	sar
148	It is easier to forgive an enemy than to forgive a friend.	sad
149	DO YOU EVEN CARE.	angry
150	I went on a diet, stopped smoking dope, cut out the drinking and heavy eating, and in fourteen days I lost two weeks.	sar
151	Light travels faster than sound. This is why some people appear bright until they speak.	sar
152	NOW BE QUITE.	angry
153	It’s so hard to understand why a person still do things that you know would hurt you and yet still do it.	sad
154	You are a great example to others.	happy
155	There’s death all around us. Everywhere we look. 1.8 people kill themselves every second. We just don’t pay attention. Until we do.	sad
156	You might appear to be hard on people, but I know that deep inside there beats a heart of solid concrete.	sar
157	I’ll be okay is that what you want to say..???	sad
158	I miss the old, happy me.	sad
159	They ignore you until they need you.	sad
160	A feeling of sadness seemingly without a cause..	sad
161	Oh… I didn’t tell you…. Then it must be none of your business.	sar
162	You have the best ideas.	happy
163	You should be proud of yourself.	happy
164	Your quirks are so you -- and I love that.	happy
165	If you were a scented candle they'd call it Perfectly Imperfect (and it would smell like summer).	happy
166	oh no … Keep talking … I always YAWN when I’m interested…:)	sar
167	There is a fine line between fashion and circus. So where’s the tent?	sar
168	Just because the voices only talk to me doesn’t mean you should get all jealous. You’re just a little too crazy for their taste.	sar
169	You are one of the strongest people I know.	happy
170	I’m definitely a morning person but often choose to sleep straight through it.	sar
171	Your just jealous because the voices only talk to me.	sar
172	You have the best laugh.	happy
173	YOU LISTEN TO ME NOW.	angry
174	I am alone.	sad
175	I bet you sweat glitter.	happy
176	You must be really clever to act so stupid all the time.	sar
177	If I wanted to kill myself I’ll have to climb your ego and then jump to your IQ.	sar
178	You don’t have to be ugly to be tough, but it helps.	sar
179	Tears come from the heart and not from the brain.	sad
180	Don’t make me hit you again! You’re going to hit me again? No, don’t do that! I might not survive!	sar
181	A person who aims at nothing is sure to hit it.	sar
182	You've got an awesome sense of humor!	happy
183	What do you do when life gives you lemons? Well, when life gives me lemons, I sit in front of a McDonald’s and throw them at pedestrians.	sar
184	How can you speak like that?	angry
185	The only thing to fear is fear itself and what 9 out 10 doctors would prescribe.	sar
186	You have amazing creative potential.	happy
187	You're a smart cookie.	happy
188	Aha… And I care how?	sar
189	If you don’t have the money for air ticket borrow your neighbor’s carpet next time…	sar
190	Every time people ask me if I’m okay, it’s just a reminder that I’m not OK at all.	sad
191	You have a gift for making people comfortable.	happy
192	FOR ONCE listen to me.	angry
193	A lot of you cared, just not enough.	sad
194	You are the reason I am smiling today.	happy
195	We are in cloud nine	happy
196	I’m sorry I was talking, while you were interrupting me.	sar
197	I keep a lot of shit to myself because nobody gives a fuck.	sad
198	If you’re too open- minded, your brains will fall out.	sar
199	Say someone can’t be sad because someone else may have it worse is just like saying someone can’t be happy because someone else might have it better.	sad
200	The hardest part in life is trying to show the smile you know it’s fake and to hide the tears that won’t stop.	sad
201	Violence won’t solve anything…But it sure makes me feel good.	sar
202	Don’t take me for granted, cause unlike the rest.I am not afraid to walk away….	sad
203	You're all that and a super-size bag of chips.	happy
204	Your ability to recall random factoids at just the right time is impressive.	happy
205	Dont you need a license to be that ugly?	sar
206	If ignorance is bliss. You must be the happiest person on this planet.	sar
207	I am a better person because of you.	happy
208	I feel empty.	sad
209	Being around you is like being on a happy little vacation.	happy
210	You have the best sense of style.	happy
211	I don’t think you know what you are doing to me..	sad
212	I know my heart will never be the same but I’m telling myself I’ll be okay.	sad
213	People walk away easily but they leave their memories with us forever….	sad
214	I’m not your type. I’m not inflatable.	sar
215	Sometimes your eyes are not the only place the tears fall from.	sad
216	It makes me want to puke.	angry
217	I broke my own heart loving you.	sad
218	Someone is getting through something hard right now because you've got their back.	happy
219	You were looking good from afar.. Now you’re far from looking good.	sar
220	So, this is where our diligence has led?	sar
221	Thanks for being there for me.	happy
222	Not many people can listen to you and survive. I should be getting an award.	sar
223	You always know just what to say.	happy
224	No you’re not ugly.. It’s just that you’re face is few centuries out of fashion.	sar
225	You make me want to be a better person.	happy
226	You light up the room.	happy
227	You're even better than a unicorn, because you're real.	happy
228	You're strong.	happy
229	I need a break from the loneliness that is totally consuming me.	sad
230	I wanted to kill someone and I wanted to die and I wanted to run as far and as fast as I could because she was never coming back. She had fallen off the face of the earth and she was never coming back.	sad
231	I miss him like I miss a sore thumb.	sar
232	You're a candle in the darkness.	happy
233	You deserve a promotion.	happy
234	WAIT…I’m trying to imagine you with a personality.	sar
235	My tears are like anchors that sink my heart to the depths of the deepest ocean….	sad
236	That color is perfect on you.	happy
237	Man, I sure do hate a bag of air with chips in it.	sar
238	I am Modest…………… And proud of it.	sar
239	You're always learning new things and trying to better yourself, which is awesome.	happy
240	No one cares. They are just pretending	sad
241	When you think your best isn’t good enough, more than likely it isn’t.	sar
242	You are the most perfect you there is.	happy
243	Get your facts straight.	angry
244	I'd like to be more like you.	happy
245	I don't know what I feel anymore.	sad
246	When it comes to cooking, no one’s meals are quite as delicious.	happy
247	Of course I’m NOT being sarcastic!	sar
248	I am discouraged.	sad
249	When you say you will do something, I trust you.	happy
250	Sometimes you hurt the ones who love you most.Sometimes You hold the one’s who leave you lost.And sometimes you learn but it’ s too late it’s too late!!!!	sad
251	Thank you for being there for me.	happy
252	You just made my day.	happy
253	Watch your mouth.	angry
254	Any team would be lucky to have you on it.	happy
255	No matter what you do or say, there’s nothing that you can do to make people understand you.	sad
256	Pain is always emotional. Fear and depression keep constant company with chronic hurting in Human’s Mind.	sad
257	Go die.	angry
258	But grief makes a monster out of us sometimes . . . and sometimes you say and do things to the people you love that you can’t forgive yourself for.	sad
259	Let’s share, you’ll take the grenade, I’ll take the pin.	sar
260	With my heart falling into a black abyss I pulled the trigger.	sad
261	Depression on my left, Loneliness on my right. They don’t need to show me their badges. I know these guys very well.	sad
262	You are perverted.	angry
263	My friends are so much cooler than yours.They’re invisible.	sar
264	I feel so miserable that I can’t be around normal people without making them miserable, too.	sad
265	Tact is for people who aren’t witty enough to use sarcasm.	sar
266	you think you can do whatever you want?	angry
267	You bring out the best in the rest of us.	happy
268	There's ordinary, and then there's you.	happy
269	We can’t breathe because of the pain that we feel inside Heart, it feels like drowning Deeply.	sad
270	What did I do to give you the impression I actually care about what you think?	sar
271	I AM SICK OF YOU.	angry
272	You’ve got great leadership skills.	happy
273	You're a hoot.	happy
274	I want to kill myself.	sad
275	I will kill you!	angry
276	People cry not because they are weak, It’s because they’ve been strong for too long.	sad
277	The only thing standing between me and total happiness is reality.	sad
278	Oh I’m sorry, I’m not really good at acting like I care!	sar
279	I’m stupid and I know it, I just don’t like people telling me this.	sar
280	There is no disguise which can hide love for long where it exists, or simulate it where it does not.	sad
281	People don't die from suicide, they die from sadness.	sad
282	Your silence echos your thoughts.	sar
283	Don't treat this matter lightly	angry
284	You may dance like no one's watching, but everyone's watching because you're an amazing dancer!	happy
285	I tell everyone how amazing you are.	happy
286	To fail you have to try. To try you have to fail first to start again.	sar
287	You son of a bitch.	angry
288	It hurts, but it's okay, I am used to it.	sad
289	I'm grateful to know you.	happy
290	You are always so helpful.	happy
291	You could survive a Zombie apocalypse.	happy
292	But they all didn’t see the little bit of sadness in me….	sad
293	The tragedy of life is not that it ends so soon, but that we wait so long to begin it.	sad
294	You seem to really know who you are.	happy
295	When you have been sad for so long that when something bad happens you don't cry, you just sit there and feel numb.	sad
296	If they keep hurting you, love them and stay or love yourself and leave.	sad
297	At some point, you have to realize that some people can stay in your heart but not in your life.	sad
298	Hanging out with you is always a blast.	happy
299	You are more fun than anyone or anything I know, including bubble wrap.	happy
300	Don’t give up, girl! Keep chasing him! But I guess he runs away because you have a beautiful face in ugly people’s point of view.	sar
301	YOU CAN'T SAY SOMETHING LIKE THAT AND GET AWAY WITH IT.	angry
302	I’m busy saving everybody else when I can’t even save myself.	sad
303	We all want someone to notice, but as soon as they do, we wish they never did.	sad
304	Fighting with me is like being in the special olympics. You may win, but in the end you’re still a retard.	sar
305	You're a gift to those around you.	happy
306	But then I never had to worry about crash landing because I never took off.	sad
307	Our bodies break down, sometimes when we’re at 90, sometimes before we’re even born, but it always happens, and there’s never any dignity in it. I don’t care if you can walk, see, wipe your ass. It’s always ugly. You can live with dignity; we can’t die with it.	sad
308	Just keep talking, I yawn when I’m interested.	sar
309	My loyalty cannot be bought, however, it can be rented.	sar
310	If I promise to miss you, will you go away?	sar
311	Long time I been on my own, but now really I’m alone. I survive the killing, the starving, all the hate of the Khmer Rouge, but I think maybe now I will die of this, of broken heart.	sad
312	I am not worthy of being in love…	sad
313	I don’t believe in plastic surgery, But in your case, Go ahead.	sar
314	I am not living. I am surviving	sad
315	Be careful who you fall in love with, cause someone somewhere will not approve…	sad
316	No amount of sleep in the world could cure the tiredness I feel.	sad
317	The difference between you and me is that when you wake up, your nightmare ends and Mine just Started.	sad
318	Congratulations, If you press the elevator button three times it goes into hurry mode – really…	sar
319	Your bae is suffering from low self-esteem, well, maybe that’s why she’s dating you.	sar
320	That color looks perfect on you.	happy
321	I’d tell you to go to hell, but I work there and I don’t want to see you everyday!	sar
322	Yet, I didn’t understand that she was intentionally disguising her feelings with sarcasm; that was usually the last resort of people who are timid and chaste of heart, whose souls have been coarsely and impudently invaded; and who, until the last moment, refuse to yield out of pride and are afraid to express their own feelings to you.	sar
323	I’m not listening, but keep talking. I enjoy the way your voice makes my ears bleed.	sar
324	I believe in you.	happy
325	I CANNOT HANDLE THIS, I AM LEAVING.	angry
326		sar
327	YOU WILL NOT RESPOND IN A FRIVOLOUS MANNER.	angry
328	Sarcasm is the lowest form of wit! Yet it remains the funniest!	sar
329	I love the way you bring out the best in people.	happy
330	You are stunning.	happy
331	kiss my ass.	angry
332	Don't make me come there.	angry
333	Sarcasm, because beating the crap out of people is illegal	sar
334	No, you don’t have to repeat yourself, … I was ignoring you the first time.	sar
335	Life’s good, you should get one.	sar
336	The walls we build around us to keep sadness out also keeps out the joy.	sad
337	Well aren’t you a breath of fresh air!	sar
338	I clapped because it’s finished, not because I like it.	sar
339	As long as you know everything is a lie then you can’t hurt yourself.	sad
340	You made my day	happy
341	I am at the top of the world	happy
342	Psychologist can’t fix stupid, apparently it’s not a disorder that is recognized.	sar
343	Some of the most painful scars: the ones that hurt the most are the scars that can’t be seen.	sad
344	I hate when i am laying in bed looking out my window for the moon and stars, but i can’t find the Moon…	sad
345	You inspire me.	happy
346	I love to hear you talk- the white noise is very relaxing.	sar
347	Here let me drop whats important to me and pay attention to you and all of your needs.	sar
348	Do you want me to accept you as you are, or do you want me to lie to myself and try to like you?	sar
349	Being around you makes everything better!	happy
350	I can’t help you but I really care about you.	sar
351	It's always worse than it seems.	sad
352	3 A.M. Phone call… Hey are you asleep?… No I’m sky diving!	sar
353	I’m not sarcastic, I’m brutally honest =).	sar
354	When you make up your mind about something, nothing stands in your way.	happy
355	The way you treasure your loved ones is incredible.	happy
356	What you must understand about me is that I’m a deeply unhappy person.	sad
357	I feel so miserable without you, it’s almost like having you here.	sar
358	I’m not listening, but keep talking. I enjoy the way your voice makes my ears bleed.	sar
359	You have the best laugh.	happy
360	Your inside is even more beautiful than your outside.	happy
361	Away is where you should go.	sar
362	You have done a good job in folding the cloths... I will do it again...	sar
363	I hate getting flashbacks from things that I don’t want to remember.	sad
364	You have a good head on your shoulders.	happy
365	Well my imaginary friend thinks you have serious mental problems	sar
366	I thought I had seen the pinnacle of stupid… Then I met you.	sar
367	You had moved my world when you came, but you made it shake when you left.	sad
368	You are about as useful as a white crayon.	sar
369	Experience is a wonderful thing. It enables you to recognize a mistake when you make it again.	sar
370	GET OUT!	angry
371	I think I’m afraid to be happy because whenever I get too happy, something bad always happens.	sad
372	Well, thank you. Coming from you, it means…absolutely nothing.	sar
373	What? I don’t speak idiot!	sar
374	I like you. People say I’ve got no taste, but I like you.	sar
375	You're even more beautiful on the inside than you are on the outside.	happy
376	You are funny, you make everyone laugh except when you joke.	sar
377	Sending Postcards From A Plane Crash (Wish You Were Here).	sar
378	Someone said that you didn’t have half a brain, but I defended you, I insisted that you did!	sar
379	You're a great listener.	happy
380	Life goes on… with or without you.	sad
381	PLEASE STOP IT.	angry
382	You look great today.	happy
383	I’d tell you to go to hell, but I work there and don’t want to see your ugly mug every day.	sar
384	Everything is a battle, every breath is a war, and I don’t think I’m winning anymore.	sad
385	How is it that you always look great, even in sweatpants?	happy
386	Depression is a prison where you are both the suffering prisoner and the cruel jailer.	sad
387	Shut your mouth when you’re talking to me.	sar
388	There is a strong need for a sarcasm font.	sar
389	You bring out the best in other people.	happy
390	Jeanette?… You know that you could be a very pretty gurl?…if it wasn’t for your face?	sar
391	I hate you!	angry
392	Jealously is a disease…get well soon!!!!	sar
393	Are you always this retarded or are you making a special effort today?	sar
394	You're like a ray of sunshine on a really dreary day.	happy
395	I like your style.	happy
396	You are grounded.	angry
397	I just want to lay in my bed and listen to sad music all day in Silence.	sad
398	Talking to myself. Because who else will?	sar
399	You always do me a favor, when you shut up!	sar
400	You’d be in good shape…if you ran as much as your mouth.	sar
401	Just because people don’t understand you doesn’t mean you’re an artist.	sar
402	nothing happens the way I expect it to	sad
403	You should be thanked more often. So thank you!!	happy
404	People cry, not because they’re weak. It’s because they’ve been strong for too long.	sad
405	This is no way to talk to someone.	angry
406	I love you too much to let you be in peace.	sar
407	You make a bigger impact than you realize.	happy
408	I know i never even had any chance with you but it still hurts seeing you with someone…	sad
409	Yesterday I was sad today i am happy yesterday i had a problem today i still have the same problem..	sad
410	He who has never experienced hurt, cannot experience true love.	sad
411	It’s hard to wait around for something that you know might not happen but it’s even harder to give up,when you know it’s everything you ever wanted…	sad
412	When you're not afraid to be yourself is when you're most incredible.	happy
413	Your new hairstyle is truly amazing. Tell me who did it, and I’ll make them an offer they can’t refuse.	sar
414	The sky isn’t always blue. The sun doesn’t always shine. So it’s okay to fall apart sometimes.	sad
415	The movie was awesome!! My favorite part was when it ended.	sar
416	I always hate getting flashbacks from things that I don’t want to remember.	sad
417	It’s sad when someone you know becomes someone you knew.	sad
418	You have impeccable manners.	happy
419	Expect nothing and you’ll never be disappointed!	sar
420	I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.	sar
421	Every time people ask me if I’m okay, it’s just a reminder that I’m not.	sad
422	He has no enemies, but is intensely disliked by his friends.	sar
423	You make me float up like I’m on millions of bubbles (We got this one from one of our kids after he got a new coat.)	happy
424	I’d agree with you but then we’d both be wrong.	sar
425	I know that you will always have my back, because that is the kind of person you are.	happy
426	I SHOULD HAVE NEVER MET YOU.	angry
427	ARE YOU MAD?	angry
428	You have the courage of your convictions.	happy
429	Oh wow, who cut your hair?… The council?	sar
430	That is the ugliest top Ive ever seen, yet it compliments your face perfectly.	sar
431	It seems to me that the harder I try the harder I fall.	sad
432	I AM SICK OF THIS.	angry
433	Answer my question.	angry
434	Everybody knows that something’s wrong but nobody knows what’s going on.	sad
435	Should I bring ladder so you can step out of my business?	sar
436	You were cool way before hipsters were cool.	happy
437	What is wrong with you?	angry
438	My neighbor’s diary says that I have boundary issues.	sar
439	I’ll be a millionaire once I’m done making this device that lets you punch people in the face over the Internet!	sar
440	Breathing is hard. When you cry so much, it makes you realize that breathing is hard.	sad
441	Don’t worry you’re not as dumb as you look.	sar
442	I need you like a fish need a rain coat.	sar
443	I’m not good at giving advice…how about sarcasm?	sar
444	I hear voices and even they don’t like you.!	sar
445	the ability to insult idiots without them realizing it…!	sar
446	You're more fun than a ball pit filled with candy. (And seriously, what could be more fun than that?)	happy
447	Me pretending to listen should be enough for you.	sar
448	IT IS SHAMEFUL.	angry
449	My imaginary friend says that you need a therapist.	sar
450	It’s hard to answer the what’s Going wrong in Life when nothing’s right.	sad
451	Okay…Tell me and I’ll pretend to care.	sar
452	I want to sleep until I feel better.	sad
453	I don’t hate you. Its just my attitude has problems with your personality.	sar
454	People say that laughter is the best medicine. your face must be curing the world!	sar
455	If someone based an Internet meme on you, it would have impeccable grammar.	happy
456	You are awesome!	happy
457	You are so trustworthy; I always believe what you say.	happy
458	Did I change or did you just stop loving me…	sad
459	Sure I’ll help you out…the same way you came in.	sar
460	You’re pretty… See I can be funny too.	sar
461	Mind your own business.	angry
462	You help me feel more joy in life.	happy
463	Sadness flies away on the wings of time.	sad
464	But a part of me lies buried in lace and roses on a riverbank in France-a part of me is broken off forever. A part of me will be unflyable, stuck in the climb.	sad
465	answer my question.	angry
466	stop blaming others for your mistakes.	angry
467	I need a break from my own thoughts.	sad
468	You have a great sense of humor.	happy
469	Sorry, my fist meant to caress your face.	sar
470	Leaning against my father, the sadness finally broke open inside me, hollowing out my heart and leaving me bleeding. My feet felt rooted in the dirt. There were more than two bodies buried here. Pieces of me that I didn’t even know were under the ground. Pieces of dad, too.	sad
471	There’s a fine like between being tanned, and looking like you rolled in Doritos.	sar
472	You are really courageous.	happy
473	Seriously, if I was as ugly as you I’d cry too.	sar
474	If Barbie had brains she could drive, ride horses, swim, walk and talk, remind me what can you do again.	sar
475	How do you manage to get such a large foot in such a small mouth?	sar
476	All i want to do right now is cry.	sad
477	She had tricked him. She had made him leave his old self behind and come into her world, and then before he was really at home in it but too late to go back, she had left him stranded there–like an astronaut wandering about on the moon. Alone.	sad
478	I have had it from you.	angry
479	It’s sad to be happy alone.	sad
480	Before talking please connect the tongue to the brain.	sar
481	I can see your lips moving but I don’t know why.	sar
482	You are reducing this to the lowest level of personal insult to women.	angry
483	GROW UP.	angry
484	From the moment we are born, we begin to die.	sad
485	You call this fat? I call this a 1 Pack!	sar
486	Are you really stupid or you are just pretending?	sar
487	Well at least your mom thinks you’re pretty…	sar
488	Sarcasm: Helping the intelligent politely tolerate the obtuse for thousands of years.	sar
489	I asked God to punish me, next day I met you.	sar
490	Sleep is an escape for me.	sad
491	Nice shoes, how long did the doctor say you had to were them?	sar
492	YOU ARE LOST.	angry
493	Your kindness is a balm to all who encounter it.	happy
494	I appreciate our friendship.	happy
495	I am losing my patience.	angry
496	The worst feeling is you know you did the best you could but it wasn't enough.	sad
497	Everyone gets knocked down sometimes, but you always get back up and keep going.	happy
498	The saddest thing in the world, is loving someone who used to love you.	sad
499	You have the best ideas.	happy
500	Your voice is magnificent.	happy
501	Behind my smile is a hurting heart, behind my laugh, I’m falling apart. Look closely at me, and you will see, the girl I am, it isn’t me anymore.	sad
502	Man…you are so funny, but hey looks aren’t everything.	sar
503	Walking alone is not difficult but when we have walked a mile worth a thousand years with someone then coming back alone is what is difficult.	sad
504	How much do you charge to haunt a house?	sar
505	Her face makes me wanna learning boxing.	sar
506	If life doesn’t kill you, emptiness in Life will surely Kill You.	sad
507	You make me want to be a better person.	happy
508	I’m impressed, I’ve never met such a small mind inside such a big head before.	sar
509	I am pissed off.	angry
510	You were merely wishing for the end of pain, the monster said. Your own pain. An end to how it isolated you. It is the most human wish of all.	sad
511	Don’t argue with fools, cos people from a distance can’t tell which one is you.	sar
512	I will hit you in the face.	angry
513	I’m not sleeping, I’m just checking my eyelids for holes!	sar
514	Nothing can stop you.	happy
515	The grass may be greener on the other side but at least you don’t have to mow it.	sar
516	There is no sadder sight than a young pessimist.	sad
517	I have too many fantasies to be a housewife.I guess i am a fantasy…	sad
518	Don’t trust too much, don’t love too much, don’t care too much because that ‘too much’ will hurt you so much!	sad
519	you’re scared to tell people how much it hurts, so you keep it all to yourself and You Brokedown Badly.	sad
520	Shut up, will you?” “Oh, I’m sorry, Your Highness, should I go get you your coffee and tea now?	sar
521	Are you kidding?	angry
522	You’re right, violence is not the solution; it’s just part of the equation.	sar
523	I feel like we’re apart when we’re in the same room! But If you keep talking, you’ll ruin the illusion.	sar
524	You have taught me so much.	happy
525	See this hand? It’s going to descend in an arc that will, in the process, have contact with your face. Just warning you.	sar
526	Look at you your in perfect shape……………for a circle	sar
527	I like your aura.	happy
528	I can’t think of anything more disheartening than living a life without an explicit purpose.	sad
529	Thank you for being you.	happy
530	I’d insult you, but the sad truth is that you wouldn’t understand and if I tried to explain it to you, your brain might implode from information overload.	sar
531	Your outlook on life is amazing.	happy
532	Sometimes it takes losing something to realize what you’ve had…	sad
533	It’s sad when someone you know becomes someone you knew.	sad
534	You're really something special.	happy
535	Our family/school/community/church is better because you are part of it.	happy
536	You’re not that lucky and I’m not that desperate!	sar
537	YOU PEICE OF SHIT	angry
538	You really impressed me	happy
539	I don’t think anyone could ever criticize me more severely than the way I viciously criticize myself.	sad
540	I’m sorry. My fault. I forgot you were an idiot.	sar
541	There’s a hole in your head, would you like me to plug it so the rest of your brain doesn’t fall out?	sar
542	No one knows how close I am to drowning.	sad
543	I am more broken than you think.	sad
544	You are a great parent. You can tell just by looking at how thoughtful your kids are (A two-for-one compliment)	happy
545	I know that if you ever make a mistake, you fix it.	happy
546	You really impress me.	happy
547	Please just save me.	sad
